Trip_date,Pool_start,Individual_distance,Two_trips,Three-trips,shared_cost,Single_trips,Shared_distance,Four_trips,Individual_cost
5/2/2015,0:00:00,0,0,0,0,0,0,0,0
5/2/2015,0:01:00,0,0,0,0,0,0,0,0
5/2/2015,0:02:00,0,0,0,0,0,0,0,0
5/2/2015,0:03:00,0,0,0,0,0,0,0,0
5/2/2015,0:04:00,0,0,0,0,0,0,0,0
5/2/2015,0:05:00,0,0,0,0,0,0,0,0
5/2/2015,0:06:00,0,0,0,0,0,0,0,0
5/2/2015,0:07:00,0,0,0,0,0,0,0,0
5/2/2015,0:08:00,0,0,0,0,0,0,0,0
5/2/2015,0:09:00,0,0,0,0,0,0,0,0
5/2/2015,0:10:00,0,0,0,0,0,0,0,0
5/2/2015,0:11:00,792,2,1,492.069,0,254.4,10,792
5/2/2015,0:12:00,3191.92,10,0,1979.728,0,966.82,44,3191.92
5/2/2015,0:13:00,2952.24,19,0,1896.858,1,973.73,36,2952.24
5/2/2015,0:14:00,0,0,0,0,0,0,0,0
5/2/2015,0:15:00,0,0,0,0,0,0,0,0
5/2/2015,0:16:00,0,0,0,0,0,0,0,0
5/2/2015,0:17:00,0,0,0,0,0,0,0,0
5/2/2015,0:18:00,0,0,0,0,0,0,0,0
5/2/2015,0:19:00,0,0,0,0,0,0,0,0
5/2/2015,0:20:00,0,0,0,0,0,0,0,0
5/2/2015,0:21:00,0,0,0,0,0,0,0,0
5/2/2015,0:22:00,2076.63,11,0,1315.908,1,664.32,27,2076.63
5/2/2015,0:23:00,2043.15,9,0,1289.008,4,633.39,26,2043.15
5/2/2015,0:24:00,2041.77,6,0,1263.148,0,567.45,25,2041.77
5/2/2015,0:25:00,0,0,0,0,0,0,0,0
5/2/2015,0:26:00,0,0,0,0,0,0,0,0
5/2/2015,0:27:00,0,0,0,0,0,0,0,0
5/2/2015,0:28:00,0,0,0,0,0,0,0,0
5/2/2015,0:29:00,0,0,0,0,0,0,0,0
5/2/2015,0:30:00,951.98,4,0,599.42,1,310.54,12,951.98
5/2/2015,0:31:00,1409.34,4,0,869.872,0,429.38,20,1409.34
5/2/2015,0:32:00,3044.43,9,1,1886.687,1,903.99,41,3044.43
5/2/2015,0:33:00,0,0,0,0,0,0,0,0
5/2/2015,0:34:00,0,0,0,0,0,0,0,0
5/2/2015,0:35:00,0,0,0,0,0,0,0,0
5/2/2015,0:36:00,0,0,0,0,0,0,0,0
5/2/2015,0:37:00,0,0,0,0,0,0,0,0
5/2/2015,0:38:00,0,0,0,0,0,0,0,0
5/2/2015,0:39:00,0,0,0,0,0,0,0,0
5/2/2015,0:40:00,0,0,0,0,0,0,0,0
5/2/2015,0:41:00,0,0,0,0,0,0,0,0
5/2/2015,0:42:00,0,0,0,0,0,0,0,0
5/2/2015,0:43:00,0,0,0,0,0,0,0,0
5/2/2015,0:44:00,0,0,0,0,0,0,0,0
5/2/2015,0:45:00,0,0,0,0,0,0,0,0
5/2/2015,0:46:00,0,0,0,0,0,0,0,0
5/2/2015,0:47:00,0,0,0,0,0,0,0,0
5/2/2015,0:48:00,0,0,0,0,0,0,0,0
5/2/2015,0:49:00,0,0,0,0,0,0,0,0
5/2/2015,0:50:00,2017.43,11,0,1282.842,2,642.69,25,2017.43
5/2/2015,0:51:00,3670.49,16,0,2312.57,1,1123.32,47,3670.49
5/2/2015,0:52:00,2372.15,10,0,1485.382,1,746.25,31,2372.15
5/2/2015,0:53:00,0,0,0,0,0,0,0,0
5/2/2015,0:54:00,0,0,0,0,0,0,0,0
5/2/2015,0:55:00,0,0,0,0,0,0,0,0
5/2/2015,0:56:00,0,0,0,0,0,0,0,0
5/2/2015,0:57:00,0,0,0,0,0,0,0,0
5/2/2015,0:58:00,0,0,0,0,0,0,0,0
5/2/2015,0:59:00,1116.3,2,0,684.05,0,331.73,16,1116.3
5/2/2015,1:00:00,0,0,0,0,0,0,0,0
5/2/2015,1:01:00,0,0,0,0,0,0,0,0
5/2/2015,1:02:00,0,0,0,0,0,0,0,0
5/2/2015,1:03:00,0,0,0,0,0,0,0,0
5/2/2015,1:04:00,0,0,0,0,0,0,0,0
5/2/2015,1:05:00,0,0,0,0,0,0,0,0
5/2/2015,1:06:00,0,0,0,0,0,0,0,0
5/2/2015,1:07:00,0,0,0,0,0,0,0,0
5/2/2015,1:08:00,0,0,0,0,0,0,0,0
5/2/2015,1:09:00,182.35,0,1,114.582,1,63.96,2,182.35
5/2/2015,1:10:00,2990.13,9,0,1851.216,1,897.42,41,2990.13
5/2/2015,1:11:00,1063.59,2,0,651.832,2,316.42,15,1063.59
5/2/2015,1:12:00,0,0,0,0,0,0,0,0
5/2/2015,1:13:00,0,0,0,0,0,0,0,0
5/2/2015,1:14:00,0,0,0,0,0,0,0,0
5/2/2015,1:15:00,0,0,0,0,0,0,0,0
5/2/2015,1:16:00,0,0,0,0,0,0,0,0
5/2/2015,1:17:00,0,0,0,0,0,0,0,0
5/2/2015,1:18:00,0,0,0,0,0,0,0,0
5/2/2015,1:19:00,0,0,0,0,0,0,0,0
5/2/2015,1:20:00,2499.53,8,1,1559.237,1,746.88,33,2499.53
5/2/2015,1:21:00,870.92,1,0,529.006,2,268.56,13,870.92
5/2/2015,1:22:00,0,0,0,0,0,0,0,0
5/2/2015,1:23:00,0,0,0,0,0,0,0,0
5/2/2015,1:24:00,2343.52,10,0,1469.088,1,717.33,31,2343.52
5/2/2015,1:25:00,409.75,2,0,259.094,1,139.2,5,409.75
5/2/2015,1:26:00,252.46,0,0,151.476,1,81.34,4,252.46
5/2/2015,1:27:00,909.56,3,0,566.526,1,292.41,12,909.56
5/2/2015,1:28:00,0,0,0,0,0,0,0,0
5/2/2015,1:29:00,0,0,0,0,0,0,0,0
5/2/2015,1:30:00,0,0,0,0,0,0,0,0
5/2/2015,1:31:00,0,0,0,0,0,0,0,0
5/2/2015,1:32:00,0,0,0,0,0,0,0,0
5/2/2015,1:33:00,0,0,0,0,0,0,0,0
5/2/2015,1:34:00,0,0,0,0,0,0,0,0
5/2/2015,1:35:00,591.36,2,0,366.69,2,182.11,8,591.36
5/2/2015,1:36:00,1553.44,5,0,965.246,1,484.66,21,1553.44
5/2/2015,1:37:00,0,0,0,0,0,0,0,0
5/2/2015,1:38:00,1023.15,2,0,626.492,0,337.51,15,1023.15
5/2/2015,1:39:00,1285.14,4,0,799.43,2,394.53,17,1285.14
5/2/2015,1:40:00,0,0,0,0,0,0,0,0
5/2/2015,1:41:00,0,0,0,0,0,0,0,0
5/2/2015,1:42:00,0,0,0,0,0,0,0,0
5/2/2015,1:43:00,0,0,0,0,0,0,0,0
5/2/2015,1:44:00,204.29,0,0,122.574,1,63.4,3,204.29
5/2/2015,1:45:00,2046.28,7,0,1268.642,0,608.14,28,2046.28
5/2/2015,1:46:00,663.26,3,0,417.49,2,226.61,9,663.26
5/2/2015,1:47:00,2679.93,12,0,1688.14,2,831.92,35,2679.93
5/2/2015,1:48:00,620.54,3,0,391.102,2,209.22,8,620.54
5/2/2015,1:49:00,0,0,0,0,0,0,0,0
5/2/2015,1:50:00,0,0,0,0,0,0,0,0
5/2/2015,1:51:00,0,0,0,0,0,0,0,0
5/2/2015,1:52:00,0,0,0,0,0,0,0,0
5/2/2015,1:53:00,0,0,0,0,0,0,0,0
5/2/2015,1:54:00,0,0,0,0,0,0,0,0
5/2/2015,1:55:00,0,0,0,0,0,0,0,0
5/2/2015,1:56:00,0,0,0,0,0,0,0,0
5/2/2015,1:57:00,0,0,0,0,0,0,0,0
5/2/2015,1:58:00,0,0,0,0,0,0,0,0
5/2/2015,1:59:00,661.57,2,0,411.568,0,227.51,9,661.57
5/2/2015,2:00:00,762.2,5,0,489.504,0,257.29,9,762.2
5/2/2015,2:01:00,0,0,0,0,0,0,0,0
5/2/2015,2:02:00,0,0,0,0,0,0,0,0
5/2/2015,2:03:00,0,0,0,0,0,0,0,0
5/2/2015,2:04:00,0,0,0,0,0,0,0,0
5/2/2015,2:05:00,2054.73,8,0,1281.522,1,649.01,29,2054.73
5/2/2015,2:06:00,100.69,1,0,66.444,2,38.65,1,100.69
5/2/2015,2:07:00,0,0,0,0,0,0,0,0
5/2/2015,2:08:00,0,0,0,0,0,0,0,0
5/2/2015,2:09:00,0,0,0,0,0,0,0,0
5/2/2015,2:10:00,0,0,0,0,0,0,0,0
5/2/2015,2:11:00,0,0,0,0,0,0,0,0
5/2/2015,2:12:00,0,0,0,0,0,0,0,0
5/2/2015,2:13:00,0,0,0,0,0,0,0,0
5/2/2015,2:14:00,0,0,0,0,0,0,0,0
5/2/2015,2:15:00,0,0,0,0,0,0,0,0
5/2/2015,2:16:00,0,0,0,0,0,0,0,0
5/2/2015,2:17:00,0,0,0,0,0,0,0,0
5/2/2015,2:18:00,0,0,0,0,0,0,0,0
5/2/2015,2:19:00,0,0,0,0,0,0,0,0
5/2/2015,2:20:00,0,0,0,0,0,0,0,0
5/2/2015,2:21:00,0,0,0,0,0,0,0,0
5/2/2015,2:22:00,1462.68,7,0,955.884,0,406.38,16,1462.68
5/2/2015,2:23:00,0,0,0,0,0,0,0,0
5/2/2015,2:24:00,0,0,0,0,0,0,0,0
5/2/2015,2:25:00,0,0,0,0,0,0,0,0
5/2/2015,2:26:00,0,0,0,0,0,0,0,0
5/2/2015,2:27:00,1563.93,4,1,966.512,1,423.36,19,1563.93
5/2/2015,2:28:00,2325.04,12,0,1475.24,1,738.04,29,2325.04
5/2/2015,2:29:00,410.19,1,1,258.734,0,130.56,5,410.19
5/2/2015,2:30:00,0,0,0,0,0,0,0,0
5/2/2015,2:31:00,0,0,0,0,0,0,0,0
5/2/2015,2:32:00,0,0,0,0,0,0,0,0
5/2/2015,2:33:00,0,0,0,0,0,0,0,0
5/2/2015,2:34:00,0,0,0,0,0,0,0,0
5/2/2015,2:35:00,0,0,0,0,0,0,0,0
5/2/2015,2:36:00,0,0,0,0,0,0,0,0
5/2/2015,2:37:00,0,0,0,0,0,0,0,0
5/2/2015,2:38:00,0,0,0,0,0,0,0,0
5/2/2015,2:39:00,0,0,0,0,0,0,0,0
5/2/2015,2:40:00,0,0,0,0,0,0,0,0
5/2/2015,2:41:00,0,0,0,0,0,0,0,0
5/2/2015,2:42:00,0,0,0,0,0,0,0,0
5/2/2015,2:43:00,0,0,0,0,0,0,0,0
5/2/2015,2:44:00,0,0,0,0,0,0,0,0
5/2/2015,2:45:00,369.85,1,0,228.17,3,125.14,5,369.85
5/2/2015,2:46:00,1651.85,6,0,1033.826,2,509.72,22,1651.85
5/2/2015,2:47:00,1238.73,3,1,767.399,0,381.53,17,1238.73
5/2/2015,2:48:00,0,0,0,0,0,0,0,0
5/2/2015,2:49:00,0,0,0,0,0,0,0,0
5/2/2015,2:50:00,0,0,0,0,0,0,0,0
5/2/2015,2:51:00,0,0,0,0,0,0,0,0
5/2/2015,2:52:00,0,0,0,0,0,0,0,0
5/2/2015,2:53:00,0,0,0,0,0,0,0,0
5/2/2015,2:54:00,0,0,0,0,0,0,0,0
5/2/2015,2:55:00,0,0,0,0,0,0,0,0
5/2/2015,2:56:00,0,0,0,0,0,0,0,0
5/2/2015,2:57:00,0,0,0,0,0,0,0,0
5/2/2015,2:58:00,0,0,0,0,0,0,0,0
5/2/2015,2:59:00,0,0,0,0,0,0,0,0
5/2/2015,3:00:00,1766.69,9,0,1118.218,0,562.57,23,1766.69
5/2/2015,3:01:00,3658.37,13,0,2278.878,2,1109.5,51,3658.37
5/2/2015,3:02:00,2724.22,13,0,1719.536,2,864.32,37,2724.22
5/2/2015,3:03:00,1507.41,6,0,942.362,1,495.31,21,1507.41
5/2/2015,3:04:00,0,0,0,0,0,0,0,0
5/2/2015,3:05:00,0,0,0,0,0,0,0,0
5/2/2015,3:06:00,0,0,0,0,0,0,0,0
5/2/2015,3:07:00,0,0,0,0,0,0,0,0
5/2/2015,3:08:00,0,0,0,0,0,0,0,0
5/2/2015,3:09:00,0,0,0,0,0,0,0,0
5/2/2015,3:10:00,285.7,1,0,178.312,2,96.81,4,285.7
5/2/2015,3:11:00,731.93,4,0,464.184,1,244.99,9,731.93
