Trip_date,Pool_time,Sharing_cost,Individual_cost,Four_sharing,Two_sharing,Individual_distance,Lone_trips,Three_sharing,Individual_distance,,,
5/3/2015,0:01:00,2959.992,4739.49,62,17,4739.49,0,1,1440.27,,,
5/3/2015,0:02:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:03:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:04:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:05:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:06:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:07:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:08:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:09:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:10:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:11:00,288.966,454.07,5,2,454.07,1,0,150.17,,,
5/3/2015,0:12:00,1937.32,3091.12,41,12,3091.12,0,0,956.09,,,
5/3/2015,0:13:00,1324.02,2094.29,26,10,2094.29,0,0,668.56,,,
5/3/2015,0:14:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:15:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:16:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:17:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:18:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:19:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:20:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:21:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:22:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:23:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:24:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:25:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:26:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:27:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:28:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:29:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:30:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:31:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:32:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:33:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:34:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:35:00,519.924,804.69,9,5,804.69,1,0,269.74,,,
5/3/2015,0:36:00,1789.132,2862.65,38,11,2862.65,0,1,889.72,,,
5/3/2015,0:37:00,1716.28,2731.88,35,12,2731.88,0,1,855.42,,,
5/3/2015,0:38:00,809.294,1293.9,16,5,1293.9,1,0,394.77,,,
5/3/2015,0:39:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:40:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:41:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:42:00,0,0,0,0,0,0,0,0,,,
5/3/2015,0:43:00,0,0,0,0,0,0,0,0,,,
