Trip_date,Pool_time,Individual_cost,Two_sharing,Three_sharing,Shared_cost,Four_sharing,Individual_distance,Shared_distance,,,,
5/3/2015,0:01:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:02:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:03:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:04:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:05:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:06:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:07:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:08:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:09:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:10:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:11:00,443.11,3,0,336.1,5,443.11,287.344,,,,
5/3/2015,0:12:00,3108.02,12,0,2446.35,41,3108.02,1945.43,,,,
5/3/2015,0:13:00,2094.29,8,0,1630.82,27,2094.29,1308.14,,,,
5/3/2015,0:14:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:15:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:16:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:17:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:18:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:19:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:20:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:21:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:22:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:23:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:24:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:25:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:26:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:27:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:28:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:29:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:30:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:31:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:32:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:33:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:34:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:35:00,804.69,5,1,631.29,9,804.69,522.024,,,,
5/3/2015,0:36:00,2862.65,9,0,2278.91,39,2862.65,1775.064,,,,
5/3/2015,0:37:00,2713.97,12,0,2144.51,35,2713.97,1701.136,,,,
5/3/2015,0:38:00,1293.9,7,1,1004.17,15,1293.9,822.366,,,,
5/3/2015,0:39:00,0,0,0,0,0,0,0,,,,
5/3/2015,0:40:00,0,0,0,0,0,0,0,,,,
